what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811280317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811287536
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1311811287602
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811289456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811292266
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811314144
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1311811317012
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1311811324544
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811324625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811326116
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1311811327837
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1311811335367
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811335454
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811337095
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811339844
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811340945
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811342007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1311811343228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811343255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811344074
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1311811344964
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811344978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811345718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1311811346740
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811346756
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811348965
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811350025
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1311811351631
error,log,,,"Several ports (8005, 8080, 8009) required by Tomcat v6.0 Server at localhost are already in use. The server may already be running in another process, or a system process may be using the port. To start this server you will need to stop the other process or change the port number(s).",1311811359159
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811359253
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811360863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811361824
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1311811382958
executed,command,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.run",1311811385098
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1311811385895
